area	region	plot	habtiat	year	season	session	Mruf	Mrut	rodsp	Moec	Llem
varanger	ifjordfjellet	ifl3	lemming	2005	spring	2005spring	0	0	0	0	0
varanger	ifjordfjellet	ifl4	lemming	2005	spring	2005spring	0	0	0	0	0
varanger	ifjordfjellet	ifl5	lemming	2005	spring	2005spring	0	0	0	0	0
varanger	ifjordfjellet	ifl6	lemming	2005	spring	2005spring	1	0	0	0	0
varanger	ifjordfjellet	ifl7	lemming	2005	spring	2005spring	0	0	0	0	0
varanger	ifjordfjellet	ifl8	lemming	2005	spring	2005spring	0	0	0	0	0
varanger	ifjordfjellet	ifl9	lemming	2005	spring	2005spring	0	0	0	0	0
varanger	komagdalen	k1	NA	2005	spring	2005spring	0	0	0	0	0
varanger	komagdalen	k10	NA	2005	spring	2005spring	0	0	0	0	0
varanger	komagdalen	k11	NA	2005	spring	2005spring	0	0	0	0	0
varanger	komagdalen	k12	NA	2005	spring	2005spring	0	0	0	0	0
varanger	komagdalen	k13	NA	2005	spring	2005spring	0	0	0	0	0
varanger	komagdalen	k14	NA	2005	spring	2005spring	0	0	0	0	0
varanger	komagdalen	k2	NA	2005	spring	2005spring	0	0	0	0	0
varanger	komagdalen	k3	NA	2005	spring	2005spring	0	0	0	0	0
varanger	komagdalen	k4	NA	2005	spring	2005spring	0	0	0	0	0
varanger	komagdalen	k5	NA	2005	spring	2005spring	0	0	0	0	0
varanger	komagdalen	k6	NA	2005	spring	2005spring	0	0	0	0	0
varanger	komagdalen	k7	NA	2005	spring	2005spring	0	0	0	0	0
varanger	komagdalen	k8	NA	2005	spring	2005spring	0	0	0	0	0
varanger	komagdalen	k9	NA	2005	spring	2005spring	0	0	0	0	0
varanger	nordkynn	hog1	greysided	2005	spring	2005spring	1	0	0	0	0
varanger	nordkynn	hog10	greysided	2005	spring	2005spring	0	0	0	0	0
varanger	nordkynn	hog2	greysided	2005	spring	2005spring	0	0	0	0	0
varanger	nordkynn	hog3	greysided	2005	spring	2005spring	0	0	0	0	0
varanger	nordkynn	hog4	greysided	2005	spring	2005spring	1	0	1	0	0
varanger	nordkynn	hog5	greysided	2005	spring	2005spring	0	0	0	0	0
varanger	nordkynn	hog6	greysided	2005	spring	2005spring	0	0	0	0	0
varanger	nordkynn	hog7	greysided	2005	spring	2005spring	1	0	0	0	0
varanger	nordkynn	hog8	greysided	2005	spring	2005spring	0	0	0	0	0
varanger	nordkynn	hog9	greysided	2005	spring	2005spring	1	0	0	0	0
varanger	nordkynn	hol1	lemming	2005	spring	2005spring	2	0	0	0	0
