region	plot	year	season	Llem	Moec	Mruf	Mrut	rodsp
ifjordfjellet	ifg8	2007	fall	3	0	10	0	0
ifjordfjellet	ifl1	2007	fall	4	0	1	0	0
ifjordfjellet	ifl10	2007	fall	4	0	6	0	0
ifjordfjellet	ifl2	2007	fall	1	1	4	0	0
ifjordfjellet	ifl3	2007	fall	11	1	0	0	0
ifjordfjellet	ifl4	2007	fall	2	5	1	0	0
ifjordfjellet	ifl5	2007	fall	5	0	8	0	0
ifjordfjellet	ifl6	2007	fall	4	0	10	0	0
ifjordfjellet	ifl7	2007	fall	5	0	2	0	0
ifjordfjellet	ifl8	2007	fall	4	1	2	0	0
ifjordfjellet	ifl9	2007	fall	2	0	4	0	0
komagdalen	k1	2007	fall	1	0	0	0	0
komagdalen	k10	2007	fall	2	2	3	0	0
komagdalen	k11	2007	fall	1	3	5	0	0
komagdalen	k12	2007	fall	0	0	0	0	0
komagdalen	k13	2007	fall	0	0	4	0	0
komagdalen	k14	2007	fall	1	0	1	0	0
komagdalen	k2	2007	fall	0	1	1	0	0
komagdalen	k3	2007	fall	0	1	2	0	0
komagdalen	k4	2007	fall	0	0	0	0	0
komagdalen	k5	2007	fall	0	3	4	0	0
komagdalen	k6	2007	fall	0	2	3	0	0
komagdalen	k7	2007	fall	2	6	6	0	0
komagdalen	k8	2007	fall	0	8	0	0	0
komagdalen	k9	2007	fall	0	0	5	0	0
stjernevann	stg1	2007	fall	0	1	7	0	0
stjernevann	stg10	2007	fall	2	0	3	0	0
stjernevann	stg2	2007	fall	0	8	6	0	0
stjernevann	stg3	2007	fall	0	1	7	0	0
stjernevann	stg4	2007	fall	0	0	2	0	0
stjernevann	stg5	2007	fall	0	0	4	0	0
stjernevann	stg6	2007	fall	1	1	3	0	0
stjernevann	stg7	2007	fall	0	3	6	0	0
stjernevann	stg8	2007	fall	0	0	5	0	0
stjernevann	stg9	2007	fall	2	0	1	0	0
stjernevann	stl1	2007	fall	7	0	0	0	0
stjernevann	stl10	2007	fall	0	3	0	0	0
stjernevann	stl11	2007	fall	0	1	0	0	0
stjernevann	stl12	2007	fall	1	3	0	0	0
stjernevann	stl13	2007	fall	0	3	0	0	0
stjernevann	stl14	2007	fall	0	11	0	0	0
stjernevann	stl2	2007	fall	5	2	0	0	0
stjernevann	stl3	2007	fall	3	0	0	0	0
stjernevann	stl4	2007	fall	3	0	1	0	0
stjernevann	stl5	2007	fall	6	0	0	0	0
stjernevann	stl6	2007	fall	3	0	0	0	0
stjernevann	stl7	2007	fall	2	3	0	0	0
stjernevann	stl8	2007	fall	1	3	0	0	0
stjernevann	stl9	2007	fall	0	6	0	0	0
vestre_jakobselv	vj1	2007	fall	0	3	0	0	0
vestre_jakobselv	vj10	2007	fall	1	1	1	0	0
vestre_jakobselv	vj11	2007	fall	2	0	0	0	0
vestre_jakobselv	vj2	2007	fall	3	3	0	0	0
vestre_jakobselv	vj3	2007	fall	3	0	3	0	0
vestre_jakobselv	vj4	2007	fall	10	0	1	0	0
vestre_jakobselv	vj5	2007	fall	3	0	5	0	0
vestre_jakobselv	vj6	2007	fall	0	2	2	0	0
vestre_jakobselv	vj7	2007	fall	2	0	3	0	0
vestre_jakobselv	vj8	2007	fall	1	0	0	0	0
vestre_jakobselv	vj9	2007	fall	0	1	0	0	0
bekkarfjord	bfg1	2008	fall	0	0	0	0	0
bekkarfjord	bfg2	2008	fall	0	0	0	0	0
bekkarfjord	bfg3	2008	fall	0	0	0	0	0
bekkarfjord	bfg4	2008	fall	0	0	0	0	0
bekkarfjord	bfg5	2008	fall	0	0	0	0	0
bekkarfjord	bfg6	2008	fall	0	0	0	0	0
bekkarfjord	bfg7	2008	fall	0	0	0	0	0
bekkarfjord	bfg8	2008	fall	0	0	0	0	0
bekkarfjord	bfl1	2008	fall	0	0	0	0	0
bekkarfjord	bfl10	2008	fall	0	0	2	0	0
bekkarfjord	bfl2	2008	fall	0	0	0	0	0
bekkarfjord	bfl3	2008	fall	0	0	0	0	0
bekkarfjord	bfl4	2008	fall	0	0	2	0	0
bekkarfjord	bfl5	2008	fall	0	0	0	0	0
bekkarfjord	bfl6	2008	fall	0	0	1	0	0
bekkarfjord	bfl7	2008	fall	0	0	0	0	0
bekkarfjord	bfl8	2008	fall	0	0	0	0	0
bekkarfjord	bfl9	2008	fall	0	0	1	0	0
nordkynn	hog1	2008	fall	0	0	0	0	0
nordkynn	hog10	2008	fall	0	0	0	0	0
nordkynn	hog2	2008	fall	0	0	2	0	0
nordkynn	hog3	2008	fall	0	0	4	0	0
nordkynn	hog4	2008	fall	0	0	6	0	0
nordkynn	hog5	2008	fall	0	0	2	0	0
nordkynn	hog6	2008	fall	0	0	0	0	0
nordkynn	hog7	2008	fall	0	0	0	0	0
nordkynn	hog8	2008	fall	0	0	2	0	0
nordkynn	hog9	2008	fall	0	0	0	0	0
nordkynn	hol1	2008	fall	0	0	1	0	0
nordkynn	hol10	2008	fall	0	0	0	0	0
nordkynn	hol11	2008	fall	0	0	0	0	0
nordkynn	hol12	2008	fall	0	0	0	0	0
nordkynn	hol13	2008	fall	0	0	5	0	0
nordkynn	hol14	2008	fall	0	0	0	0	0
nordkynn	hol2	2008	fall	0	0	2	0	0
nordkynn	hol3	2008	fall	0	0	2	0	0
nordkynn	hol4	2008	fall	0	0	2	0	0
nordkynn	hol5	2008	fall	0	0	0	0	0
nordkynn	hol6	2008	fall	0	0	0	0	0
nordkynn	hol7	2008	fall	0	0	1	0	0
nordkynn	hol8	2008	fall	0	0	3	0	0
nordkynn	hol9	2008	fall	0	0	1	0	0
ifjordfjellet	ifg1	2008	fall	0	0	0	0	0
ifjordfjellet	ifg2	2008	fall	0	0	0	0	0
ifjordfjellet	ifg3	2008	fall	0	0	0	0	0
ifjordfjellet	ifg4	2008	fall	0	0	0	0	0
ifjordfjellet	ifg5	2008	fall	0	0	0	0	0
ifjordfjellet	ifg6	2008	fall	0	0	2	0	0
ifjordfjellet	ifg7	2008	fall	0	0	1	0	0
ifjordfjellet	ifg8	2008	fall	0	0	5	0	0
ifjordfjellet	ifl1	2008	fall	0	0	0	0	0
ifjordfjellet	ifl10	2008	fall	0	0	0	0	0
ifjordfjellet	ifl2	2008	fall	0	0	1	0	0
ifjordfjellet	ifl3	2008	fall	0	0	0	0	0
ifjordfjellet	ifl4	2008	fall	0	1	0	0	0
ifjordfjellet	ifl5	2008	fall	0	0	4	0	0
ifjordfjellet	ifl6	2008	fall	0	0	3	0	0
ifjordfjellet	ifl7	2008	fall	0	0	0	0	0
ifjordfjellet	ifl8	2008	fall	0	0	0	0	0
